Date (GMT+1),Market,Direction,Margin,$ Before,$ After,P/L,Setup,TP/SL,W/L,Type,Risk,Confluence,Leverage,Rating
"Jun 30, 2025 - 9:13 PM",AVAXUSDT.P,LONG,$800.00,"$9,366.43","$9,649.52",$283.00,"EMA, PA, VP, VWAP",Yes,W,Day trade,2:1,4,25,🟢 A Tier
"Jul 1, 2025 - 12:34 AM",BNBUSDT.P,LONG,$500.00,"$9,649.52","$9,601.17",-$48.00,"EMA, PA, S/R",Yes,L,Scalp,2:1,3,25,🟡 B+ Tier
"Jul 2, 2025 - 4:58 PM",XLMUSDT.P,LONG,$600.00,"$9,601.17","$10,093.17",$492.00,"EMA, PA, S/R, VP, VWAP",Yes,W,Swing trade,2:1,5,25,⚪ S Tier
"Jul 2, 2025 - 9:00 PM",XRPUSDT.P,LONG,$500.00,"$10,093.17","$10,272.30",$179.00,"EMA, Fib, PA",Yes,W,Day trade,2:1,3,25,🟡 B+ Tier
"Jul 3, 2025 - 4:28 AM",AAVEUSDT.P,LONG,$300.00,"$10,272.30","$10,285.43",$13.00,"EMA, PA, S/R",No,W,Scalp,3:1,3,25,🟡 B+ Tier
"Jul 3, 2025 - 7:11 AM",XMRUSDT.P,LONG,$800.00,"$10,285.43","$10,561.00",$276.00,"EMA, Fib, PA",Yes,W,Day trade,2:1,3,25,🟡 B+ Tier
"Jul 3, 2025 - 2:52 PM",SOLUSDT.P,LONG,$800.00,"$10,561.00","$10,724.00",$163.00,"EMA, Fib, PA, S/R",Yes,W,Day trade,2:1,4,25,🟢 A Tier
"Jul 3, 2025 - 8:00 PM",XRPUSDT.P,LONG,$500.00,"$10,718.47","$10,790.03",$72.00,"EMA, Fib, PA, S/R",Yes,W,Scalp,2:1,4,25,🟢 A Tier
"Jul 6, 2025 - 2:52 PM",LINKUSDT.P,LONG,$500.00,"$12,346.31","$12,600.52",$254.00,"EMA, Fib, PA, S/R, VWAP",No,W,Swing trade,2:1,5,25,⚪ S Tier
"Jul 3, 2025 - 7:41 PM",DOTUSDT.P,SHORT,$400.00,"$10,724.00","$10,718.47",-$6.00,"EMA, PA, S/R, VWAP",No,L,Scalp,3:1,4,25,🟢 A Tier
"Jul 6, 2025 - 11:42 AM",XRPUSDT.P,LONG,"$1,000.00","$11,478.80","$11,993.99",$515.00,"EMA, Fib, PA, S/R, VP",Yes,W,Swing trade,2:1,5,25,⚪ S Tier
"Jul 5, 2025 - 12:37 AM",UNIUSDT.P,LONG,$600.00,"$10,790.03","$11,117.88",$328.00,"EMA, PA, S/R, VP, VWAP",Yes,W,Day trade,3:1,5,25,⚪ S Tier
"Jul 6, 2025 - 2:34 PM",ETHUSDT.P,LONG,$800.00,"$11,993.99","$12,346.31",$352.00,"EMA, PA, S/R, VWAP",Yes,W,Day trade,2:1,4,25,🟢 A Tier
"Jul 5, 2025 - 11:49 PM",AAVEUSDT.P,LONG,$600.00,"$11,117.88","$11,478.80",$361.00,"EMA, PA, S/R, VP",Yes,W,Day trade,2:1,4,25,🟢 A Tier
"Jul 6, 2025 - 2:55 PM",DOTUSDT.P,LONG,$500.00,"$12,600.52","$12,594.67",-$6.00,"EMA, PA",No,L,Scalp,2:1,2,25,🟠 B Tier
"Jul 6, 2025 - 9:04 PM",XLMUSDT.P,LONG,$500.00,"$12,594.67","$12,669.35",$75.00,"EMA, PA, VP",Yes,W,Scalp,2:1,3,25,🟡 B+ Tier
"Jul 6, 2025 - 10:35 PM",DOTUSDT.P,LONG,$500.00,"$12,669.35","$12,828.03",$159.00,"EMA, PA, S/R, VWAP",Yes,W,Scalp,2:1,4,25,🟢 A Tier
"Jul 8, 2025 - 12:30 AM",UNIUSDT.P,LONG,$500.00,"$12,828.03","$13,079.46",$251.00,"EMA, PA, S/R",Yes,W,Day trade,2:1,3,25,🟡 B+ Tier
"Jul 8, 2025 - 12:09 PM",AAVEUSDT.P,LONG,$800.00,"$13,079.46","$13,336.28",$257.00,"EMA, Fib, PA, S/R, VWAP",Yes,W,Day trade,2:1,5,25,⚪ S Tier
"Jul 8, 2025 - 3:19 PM",AAVEUSDT.P,SHORT,$400.00,"$13,336.28","$13,450.46",$114.00,"PA, RSI, S/R",No,W,Day trade,3:1,3,25,🟡 B+ Tier
"Jul 8, 2025 - 4:18 PM",XLMUSDT.P,SHORT,$500.00,"$13,450.46","$13,357.24",-$93.00,"Fib, PA, S/R",No,L,Day trade,3:1,3,25,🟡 B+ Tier
"Jul 8, 2025 - 6:09  PM",XLMUSDT.P,LONG,$500.00,"$13,357.24","$13,599.72",$242.00,"EMA, Fib, PA, S/R",Yes,W,Day trade,2:1,4,25,🟢 A Tier
"Jul 8, 2025 - 8:41 PM",UNIUSDT.P,SHORT,$400.00,"$13,599.72","$13,706.37",$112.00,"PA, S/R, VWAP",Yes,W,Scalp,2:1,3,25,🟡 B+ Tier
"Jul 9, 2025 - 1:55 AM",XLMUSDT.P,SHORT,$400.00,"$13,706.37","$13,529.05",-$182.00,"EMA, PA, S/R",Yes,L,Scalp,3:1,3,25,🟡 B+ Tier
"Jul 9, 2025 - 6:40 AM",SOLUSDT.P,LONG,$800.00,"$13,529.05","$13,968.45",$439.00,"EMA, PA, S/R, VP",Yes,W,Day trade,2:1,4,25,🟢 A Tier
"Jul 9, 2025 - 8:45 AM",XMRUSDT.P,LONG,$600.00,"$13,968.45","$14,350.15",$381.00,"EMA, PA, S/R, VP",Yes,W,Day trade,2:1,4,25,🟢 A Tier
"Jul 9, 2025 - 11:10 AM",XRPUSDT.P,LONG,$600.00,"$14,350.15","$14,739.66",$391.00,"EMA, PA, S/R, VP",Yes,W,Day trade,2:1,4,25,🟢 A Tier
"Jul 9, 2025 - 2:56 PM",XMRUSDT.P,SHORT,$500.00,"$14,739.66","$14,821.31",$82.00,"PA, RSI, S/R, VP",Yes,W,Scalp,3:1,4,25,🟢 A Tier
"Jul 9, 2025 - 11:06 PM",AAVEUSDT.P,LONG,$800.00,"$14,821.31","$15,022.16",$200.00,"EMA, PA, RSI",No,W,Scalp,3:1,3,25,🟡 B+ Tier
"Jul 10, 2025 - 8:21 PM",XLMUSDT.P,SHORT,$800.00,"$15,022.16","$14,661.56",-$361.00,"Fib, PA, S/R",Yes,L,Day trade,3:1,3,25,🟡 B+ Tier
"Jul 10, 2025 - 10:09 PM",LINKUSDT.P,LONG,$800.00,"$15,022.16","$14,899.34",$238.00,"EMA, PA, S/R, VP",Yes,W,Scalp,2:1,4,25,🟢 A Tier
"Jul 10, 2025 - 10:10 PM",UNIUSDT.P,LONG,$800.00,"$15,022.16","$15,116.63",$217.00,"EMA, PA, S/R, VP",Yes,W,Day trade,2:1,4,25,🟢 A Tier
"Jul 10, 2025 - 10:22 PM",XLMUSDT.P,LONG,$800.00,"$15,022.16","$15,224.54",$108.00,"EMA, PA, S/R, VP",No,W,Scalp,2:1,4,25,🟢 A Tier
"Jul 11, 2025 - 2:10 AM",XMRUSDT.P,LONG,$600.00,"$15,224.54","$15,516.93",$292.00,"EMA, PA, S/R, VP",Yes,W,Day trade,2:1,4,25,🟢 A Tier
"Jul 11, 2025 - 5:53 AM",AAVEUSDT.P,LONG,"$1,600.00","$15,948.67","$18,406.50","$2,458.00","EMA, PA, S/R, VWAP",Yes,W,Swing trade,4:1,4,25,🟢 A Tier
"Jul 11, 2025 - 6:52 AM",UNIUSDT.P,LONG,$800.00,"$15,516.93","$15,948.67",$432.00,"EMA, PA, S/R, VWAP",Yes,W,Day trade,3:1,4,25,🟢 A Tier
"Jul 11, 2025 - 4:32 PM",XLMUSDT.P,SHORT,$500.00,"$18,406.50","$18,328.33",-$78.00,"EMA, PA, S/R",Yes,L,Day trade,2:1,3,25,🟡 B+ Tier
"Jul 11, 2025 - 6:07 PM",XMRUSDT.P,LONG,$500.00,"$18,328.33","$18,455.34",$127.00,"EMA, PA, S/R, VWAP",No,W,Scalp,2:1,4,25,🟢 A Tier
"Jul 11, 2025 - 7:16 PM",AAVEUSDT.P,LONG,"$1,500.00","$18,455.34","$18,303.48",-$152.00,"EMA, PA, S/R, VWAP",No,L,Day trade,3:1,4,25,🟢 A Tier
